country,theme,week_start,relative_interest,note
JP,generative_ai,2022-11-27,10,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2025-01-19,8,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2025-05-11,8,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2025-08-31,12,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2025-12-21,11,quarterly-ish subsample for preview only; within-country scale
KR,ai_agent,2026-04-12,40,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2023-03-19,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2023-07-09,20,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2023-10-29,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2024-02-18,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2024-06-09,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2024-09-29,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2025-01-19,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2025-05-11,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2025-08-31,0,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2025-12-21,24,quarterly-ish subsample for preview only; within-country scale
CN,generative_ai,2026-04-12,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2022-11-27,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2023-03-19,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2023-07-09,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2023-10-29,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2024-02-18,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2024-06-09,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2024-09-29,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2025-01-19,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2025-05-11,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2025-08-31,0,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2025-12-21,27,quarterly-ish subsample for preview only; within-country scale
CN,ai_agent,2026-04-12,0,quarterly-ish subsample for preview only; within-country scale
